#DH	INJV	Xt	Mt	XMt	NDH
#-3.52522	2.0005	0.00069428	0.00499	0.13905	-3524.33892
-24.01015	10	0.00415	0.00496	0.83702	-4802.03
-23.31701	10	0.00758	0.00492	1.53981	-4663.402
-23.26454	10	0.01099	0.00489	2.24742	-4652.908
-20.47308	10	0.01437	0.00486	2.95986	-4094.616
-14.87632	10	0.01773	0.00482	3.67713	-2975.264
-6.87007	10	0.02107	0.00479	4.39922	-1374.014
-2.7944	10	0.02438	0.00476	5.12613	-558.88
-1.49144	10	0.02767	0.00472	5.85787	-298.288
-0.82763	10	0.03093	0.00469	6.59443	-165.526
-0.99438	10	0.03417	0.00466	7.33582	-198.876
-0.81857	10	0.03738	0.00463	8.08203	-163.714
-0.50579	10	0.04057	0.00459	8.83307	-101.158
-0.30935	10	0.04374	0.00456	9.58893	-61.87
-1.04378	10	0.04688	0.00453	10.34961	-208.756
-0.67083	10	0.05	0.0045	11.11512	-134.166
-0.61665	10	0.0531	0.00447	11.88546	-123.33
-1.04656	10	0.05617	0.00444	12.66062	-209.312
-0.41762	10	0.05921	0.00441	13.4406	-83.524
-0.3075	10	0.06223	0.00437	14.22541	-61.5
-0.62591	10	0.06523	0.00434	15.01504	-125.182
-0.45901	10	0.06821	0.00431	15.8095	-91.802
-0.44278	10	0.07116	0.00428	16.60878	-88.556
-0.95902	10	0.07408	0.00425	17.41289	-191.804
-0.53109	10	0.07698	0.00422	18.22182	-106.218
-0.46501	10	0.07986	0.0042	19.03558	-93.002
-0.0234	10	0.08271	0.00417	19.85416	-4.68
-0.00010515	10	0.08554	0.00414	20.67756	-0.02103
-0.21879	10	0.08835	0.00411	21.50579	-43.758

