#DH	INJV	Xt	Mt	XMt	NDH
#-4.5961	2.0005	0.00069428	0.01997	0.03476	-4594.95126
-26.46444	10	0.00415	0.01983	0.20925	-5292.888
-26.27283	10	0.00758	0.0197	0.38495	-5254.566
-26.04264	10	0.01099	0.01956	0.56186	-5208.528
-26.67367	10	0.01437	0.01942	0.73997	-5334.734
-26.46532	10	0.01773	0.01929	0.91928	-5293.064
-26.74728	10	0.02107	0.01916	1.0998	-5349.456
-26.44272	10	0.02438	0.01902	1.28153	-5288.544
-26.5739	10	0.02767	0.01889	1.46447	-5314.78
-26.65157	10	0.03093	0.01876	1.64861	-5330.314
-26.6238	10	0.03417	0.01863	1.83395	-5324.76
-26.57917	10	0.03738	0.0185	2.02051	-5315.834
-26.94294	10	0.04057	0.01837	2.20827	-5388.588
-26.42493	10	0.04374	0.01825	2.39723	-5284.986
-26.50676	10	0.04688	0.01812	2.5874	-5301.352
-26.50626	10	0.05	0.01799	2.77878	-5301.252
-26.19876	10	0.0531	0.01787	2.97136	-5239.752
-25.90349	10	0.05617	0.01775	3.16515	-5180.698
-25.8569	10	0.05921	0.01762	3.36015	-5171.38
-24.29691	10	0.06223	0.0175	3.55635	-4859.382
-23.19775	10	0.06523	0.01738	3.75376	-4639.55
-20.77614	10	0.06821	0.01726	3.95238	-4155.228
-15.69514	10	0.07116	0.01714	4.1522	-3139.028
-10.39088	10	0.07408	0.01702	4.35322	-2078.176
-5.78204	10	0.07698	0.0169	4.55546	-1156.408
-3.80523	10	0.07986	0.01678	4.75889	-761.046
-2.51586	10	0.08271	0.01666	4.96354	-503.172
-1.64109	10	0.08554	0.01655	5.16939	-328.218
-1.41403	10	0.08835	0.01643	5.37645	-282.806
