#DH	INJV	Xt	Mt	XMt	NDH
#-3.64236	2.0005	0.00069428	0.00999	0.06952	-3641.45004
-24.54063	10	0.00415	0.00992	0.41851	-4908.12539
-25.32209	10	0.00758	0.00985	0.7699	-5064.4178
-25.06036	10	0.01099	0.00978	1.12371	-5012.07257
-25.49983	10	0.01437	0.00971	1.47993	-5099.96664
-25.06197	10	0.01773	0.00965	1.83856	-5012.3947
-25.44019	10	0.02107	0.00958	2.19961	-5088.0387
-24.88493	10	0.02438	0.00951	2.56307	-4976.98542
-22.32875	10	0.02767	0.00945	2.92893	-4465.75028
-21.20326	10	0.03093	0.00938	3.29722	-4240.65292
-15.81048	10	0.03417	0.00932	3.66791	-3162.09666
-9.2827	10	0.03738	0.00925	4.04102	-1856.54038
-3.00358	10	0.04057	0.00919	4.41653	-600.71596
-1.71625	10	0.04374	0.00912	4.79446	-343.24984
-0.76821	10	0.04688	0.00906	5.17481	-153.64296
-0.64308	10	0.05	0.009	5.55756	-128.61673
-0.91557	10	0.0531	0.00893	5.94273	-183.11494
-0.40253	10	0.05617	0.00887	6.33031	-80.50536
0.02546	10	0.05921	0.00881	6.7203	5.09202
-0.45549	10	0.06223	0.00875	7.11271	-91.09866
-0.30964	10	0.06523	0.00869	7.50752	-61.92787
-0.43694	10	0.06821	0.00863	7.90475	-87.38702
-0.55104	10	0.07116	0.00857	8.30439	-110.20809
-0.33504	10	0.07408	0.00851	8.70644	-67.00825
-0.3639	10	0.07698	0.00845	9.11091	-72.78059
-0.20319	10	0.07986	0.00839	9.51779	-40.63821
-0.90437	10	0.08271	0.00833	9.92708	-180.87312
-0.2328	10	0.08554	0.00827	10.33878	-46.55968
0.3683	10	0.08835	0.00822	10.75289	73.65997
